,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Cititel Penang
253,Sur,OM,82.47,broken clouds,22.5667,59.5289,Sur Plaza Hotel
257,Todos Santos,MX,82.04,few clouds,23.45,-110.2167,Hotel California Todos Santos
270,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
275,Muli,MV,80.44,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
277,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
283,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
284,Chivacoa,VE,87.69,overcast clouds,10.1603,-68.895,Hotel Abruzzese C.A
285,Ubajara,BR,83.61,overcast clouds,-3.8544,-40.9211,Pousada Senhor da Canoa
288,Mecca,SA,78.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
297,Sosua,DO,89.58,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
299,Boyolangu,ID,75.07,moderate rain,-8.1181,111.8935,Yos ega cv
300,Rincon,US,76.91,clear sky,32.296,-81.2354,Days Inn Rincon
301,Farafenni,GM,85.26,overcast clouds,13.5667,-15.6,Eddy's Hotel
302,Buckeye,US,77.11,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
303,Bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Upata,VE,83.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
308,Lake Havasu City,US,76.23,clear sky,34.4839,-114.3224,Heat Hotel
309,Chateaubelair,VC,82.92,light rain,13.2833,-61.25,Richmond Vale Diving & Hiking Center
310,Cururupu,BR,81.82,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
314,Alepe,CI,82.27,light rain,5.5004,-3.6631,BENENE 1
318,Wukari,NG,80.91,broken clouds,7.85,9.7833,Elimtop
