City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Onega,RU,63.9061,38.1404,34.66,98,100,4.88,overcast clouds
79,Moranbah,AU,-22.0016,148.0466,65.32,82,0,12.01,clear sky
80,Pospelikha,RU,51.95,81.7667,27.88,95,96,3.78,overcast clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,75,9.22,light rain
82,Mnogovershinnyy,RU,53.9353,139.9242,12.25,90,75,4.92,broken clouds
83,Cidreira,BR,-30.1811,-50.2056,60.48,93,100,7.9,moderate rain
84,Vallenar,CL,-28.5708,-70.7581,78.46,36,98,10.51,overcast clouds
85,Hamilton,US,39.1834,-84.5333,62.2,40,0,14.97,clear sky
86,Luanda,AO,-8.8368,13.2343,80.6,74,75,11.5,broken clouds
87,Ayolas,PY,-27.4,-56.9,81.79,30,0,4.0,light rain
88,Salalah,OM,17.0151,54.0924,76.59,74,5,0.36,clear sky
89,Puerto Escondido,MX,15.85,-97.0667,85.71,67,55,7.54,broken clouds
90,Hambantota,LK,6.1241,81.1185,77.34,100,20,0.0,moderate rain
91,Luwuk,ID,-0.9516,122.7875,77.58,84,100,2.86,overcast clouds
92,Poselki,RU,53.1324,46.5031,34.57,83,100,8.59,overcast clouds
93,Porto Santo,PT,33.072,-16.3415,70.18,83,40,5.75,scattered clouds
94,Saldanha,ZA,-33.0117,17.9442,62.65,79,100,10.8,overcast clouds
95,Severo-Yeniseyskiy,RU,60.3725,93.0408,15.75,93,100,6.67,overcast clouds
96,Ystad,SE,55.4297,13.8204,54.34,82,100,19.15,overcast clouds
97,Necochea,AR,-38.5473,-58.7368,82.0,23,100,16.42,overcast clouds
98,Baruun-Urt,MN,46.6806,113.2792,28.98,57,100,1.68,overcast clouds
99,Westport,US,41.1415,-73.3579,58.86,33,0,17.27,clear sky
100,Akcakoca,TR,41.0866,31.1162,52.45,82,20,2.21,few clouds
101,Oeiras Do Para,BR,-2.0031,-49.8544,72.95,97,100,3.31,heavy intensity rain
102,Padang,ID,-0.9492,100.3543,76.8,86,100,3.83,moderate rain
103,Parry Sound,CA,45.3501,-80.033,42.85,42,2,5.82,clear sky
104,Aklavik,CA,68.2191,-135.0107,16.41,90,100,5.14,overcast clouds
105,Gizo,SB,-8.103,156.8419,82.11,76,100,11.36,moderate rain
106,Bowen,AU,-20.0167,148.2333,73.99,73,53,13.53,broken clouds
107,Acapulco,MX,16.8634,-99.8901,84.83,72,44,6.64,scattered clouds
108,Faanui,PF,-16.4833,-151.75,78.3,71,100,10.76,overcast clouds
109,Buala,SB,-8.145,159.5921,79.65,81,100,6.31,light rain
110,Maningrida,AU,-12.0667,134.2667,81.64,76,91,4.38,overcast clouds
111,Glace Bay,CA,46.1969,-59.957,43.79,79,75,20.71,broken clouds
